year,country,geo,category_key,category_label,top_crop,prod_code,price_eur_t
2020,Austria,AT,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,408.0
2020,Austria,AT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,7980.0
2020,Austria,AT,orchards,Orchards/Vineyards (perennial),Apricots: all varieties - prices per 100 kg,06199100,4152.6
2020,Austria,AT,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,203.2
2020,Belgium,BE,arable,Arable (cereals/oilseeds),Soft wheat - prices per 100 kg,01110000,174.5
2020,Belgium,BE,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,6038.3
2020,Belgium,BE,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,9899.8
2020,Belgium,BE,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,277.7
2020,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Spinach - prices per 100 kg,04193000,3093.1
2020,Bulgaria,BG,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,429.3
2020,Bulgaria,BG,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,5240.8
2020,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1566.5
2020,Bulgaria,BG,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,212.2
2020,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,2286.0
2020,Cyprus,CY,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,770.4000000000001
2020,Cyprus,CY,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1903.8
2020,Cyprus,CY,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,467.2
2020,Cyprus,CY,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2571.6000000000004
2020,Czechia,CZ,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,518.6
2020,Czechia,CZ,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,9092.0
2020,Czechia,CZ,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,3920.2
2020,Czechia,CZ,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,309.6
2020,Czechia,CZ,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,3357.4
2020,Germany,DE,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,1800.0
2020,Germany,DE,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,6002.4
2020,Germany,DE,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,8459.7
2020,Germany,DE,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,431.2
2020,Germany,DE,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,5275.0
2020,Denmark,DK,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,376.5
2020,Denmark,DK,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,10729.6
2020,Denmark,DK,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,213.4
2020,Denmark,DK,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,04122000,1888.6000000000001
2020,Estonia,EE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,376.0
2020,Greece,EL,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,835.1999999999999
2020,Greece,EL,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,3665.0
2020,Greece,EL,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1659.9
2020,Greece,EL,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,738.8
2020,Greece,EL,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,3227.2000000000003
2020,Spain,ES,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,696.0
2020,Spain,ES,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,4075.8999999999996
2020,Spain,ES,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,7017.799999999999
2020,Spain,ES,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,468.1
2020,Spain,ES,vegetables,Vegetables (fresh market/transplant),Green peas: all qualities - prices per 100 kg,04199000,2361.6
2020,Finland,FI,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,383.1
2020,Finland,FI,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,5880.700000000001
2020,Finland,FI,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,998.7
2020,Finland,FI,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,04122000,1641.3
2020,Croatia,HR,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,966.3
2020,Croatia,HR,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,1878.1
2020,Croatia,HR,orchards,Orchards/Vineyards (perennial),Strawberries under glass - prices per 100 kg,06193200,3064.2000000000003
2020,Croatia,HR,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,367.40000000000003
2020,Croatia,HR,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,3288.0
2020,Hungary,HU,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,484.3
2020,Hungary,HU,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,6341.1
2020,Hungary,HU,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,431.0
2020,Hungary,HU,vegetables,Vegetables (fresh market/transplant),Green beans - prices per 100 kg,04197000,1918.0
2020,Ireland,IE,arable,Arable (cereals/oilseeds),Barley - prices per 100 kg,01300000,172.8
2020,Ireland,IE,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,1750.0
2020,Italy,IT,arable,Arable (cereals/oilseeds),Durum wheat - prices per 100 kg,01120000,274.3
2020,Italy,IT,orchards,Orchards/Vineyards (perennial),Lemons: all varieties - prices per 100 kg,06230000,875.0
2020,Italy,IT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,456.4
2020,Italy,IT,vegetables,Vegetables (fresh market/transplant),Tomatoes in the open: all qualities - prices per 100 kg,04121000,850.4000000000001
2020,Lithuania,LT,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,356.5
2020,Lithuania,LT,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,11682.1
2020,Lithuania,LT,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,285.0
2020,Lithuania,LT,vegetables,Vegetables (fresh market/transplant),Spinach - prices per 100 kg,04193000,3745.0
2020,Luxembourg,LU,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,1229.0
2020,Luxembourg,LU,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,4800.0
2020,Luxembourg,LU,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,234.8
2020,Latvia,LV,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,358.8
2020,Latvia,LV,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,2803.8999999999996
2020,Latvia,LV,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,316.5
2020,Latvia,LV,vegetables,Vegetables (fresh market/transplant),Lettuce under glass: all qualities - prices per 100 kg,04192200,4323.2
2020,Malta,MT,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,1378.3000000000002
2020,Malta,MT,orchards,Orchards/Vineyards (perennial),Plums: all varieties  - prices per 100 kg,06192000,1500.0
2020,Malta,MT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,349.90000000000003
2020,Malta,MT,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,3367.5
2020,Netherlands,NL,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,385.0
2020,Netherlands,NL,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,4411.3
2020,Netherlands,NL,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,345.7
2020,Netherlands,NL,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,3634.9
2020,Poland,PL,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,368.9
2020,Poland,PL,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,3744.9
2020,Poland,PL,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1348.6000000000001
2020,Poland,PL,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,145.39999999999998
2020,Poland,PL,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,1099.1
2020,Portugal,PT,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,2409.1
2020,Portugal,PT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,4200.0
2020,Portugal,PT,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,6108.099999999999
2020,Portugal,PT,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,778.8
2020,Portugal,PT,vegetables,Vegetables (fresh market/transplant),Green peas: all qualities - prices per 100 kg,04199000,3049.0
2020,Romania,RO,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,1066.5
2020,Romania,RO,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,1992.4
2020,Romania,RO,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,615.9000000000001
2020,Romania,RO,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,3395.7999999999997
2020,Sweden,SE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,354.3
2020,Sweden,SE,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,4800.1
2020,Sweden,SE,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,253.0
2020,Sweden,SE,vegetables,Vegetables (fresh market/transplant),Cucumbers under glass: all qualities - prices per 100 kg,04194200,1127.6000000000001
2020,Slovenia,SI,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,487.8
2020,Slovenia,SI,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,7206.2
2020,Slovenia,SI,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,4545.2
2020,Slovenia,SI,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,410.20000000000005
2020,Slovenia,SI,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,6615.2
2020,Slovakia,SK,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,898.1
2020,Slovakia,SK,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,2448.8
2020,Slovakia,SK,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,356.9
2020,Slovakia,SK,vegetables,Vegetables (fresh market/transplant),Lettuce in the open: all qualities - prices per 100 kg,04192100,950.1
2021,Austria,AT,arable,Arable (cereals/oilseeds),Soya - prices per 100 kg,02130000,557.9
2021,Austria,AT,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,7970.0
2021,Austria,AT,orchards,Orchards/Vineyards (perennial),Apricots: all varieties - prices per 100 kg,06199100,4748.0
2021,Austria,AT,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,289.1
2021,Belgium,BE,arable,Arable (cereals/oilseeds),Soft wheat - prices per 100 kg,01110000,233.0
2021,Belgium,BE,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,5366.799999999999
2021,Belgium,BE,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,8291.2
2021,Belgium,BE,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,501.4
2021,Belgium,BE,vegetables,Vegetables (fresh market/transplant),Spinach - prices per 100 kg,04193000,2574.3
2021,Bulgaria,BG,arable,Arable (cereals/oilseeds),Sunflowers - prices per 100 kg,02120000,510.09999999999997
2021,Bulgaria,BG,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,5828.8
2021,Bulgaria,BG,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,1694.7
2021,Bulgaria,BG,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,198.4
2021,Bulgaria,BG,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,2467.7000000000003
2021,Cyprus,CY,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,886.1
2021,Cyprus,CY,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,2374.7
2021,Cyprus,CY,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,505.3
2021,Cyprus,CY,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,2735.4
2021,Czechia,CZ,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,673.9
2021,Czechia,CZ,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,9137.7
2021,Czechia,CZ,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,4088.5
2021,Czechia,CZ,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,303.4
2021,Czechia,CZ,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,3744.1000000000004
2021,Germany,DE,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,1726.5
2021,Germany,DE,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,6000.0
2021,Germany,DE,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,7879.700000000001
2021,Germany,DE,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,445.6
2021,Germany,DE,vegetables,Vegetables (fresh market/transplant),Asparagus: all qualities - prices per 100 kg,04199910,5356.2
2021,Denmark,DK,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,461.8
2021,Denmark,DK,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,10902.6
2021,Denmark,DK,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,200.3
2021,Denmark,DK,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,04122000,2121.2
2021,Estonia,EE,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,516.1999999999999
2021,Greece,EL,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,752.6999999999999
2021,Greece,EL,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,3665.0
2021,Greece,EL,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,2040.1
2021,Greece,EL,rowCrops,Row crops,Beetroot - prices per 100 kg,04199905,773.7
2021,Greece,EL,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,3440.7
2021,Spain,ES,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,808.5
2021,Spain,ES,industrial,Specialty industrial crops,Hops: all varieties - prices per 100 kg,02920000,5310.1
2021,Spain,ES,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,5552.9
2021,Spain,ES,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,372.70000000000005
2021,Spain,ES,vegetables,Vegetables (fresh market/transplant),Green peas: all qualities - prices per 100 kg,04199000,2660.0
2021,Finland,FI,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,505.5
2021,Finland,FI,orchards,Orchards/Vineyards (perennial),Strawberries in the open - prices per 100 kg,06193100,4930.5
2021,Finland,FI,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,1206.9
2021,Finland,FI,vegetables,Vegetables (fresh market/transplant),Tomatoes under glass: all qualities - prices per 100 kg,04122000,1914.9
2021,Croatia,HR,arable,Arable (cereals/oilseeds),Dessert grapes: all varieties - prices per 100 kg,06410000,904.5
2021,Croatia,HR,industrial,Specialty industrial crops,Raw tobacco: all varieties - prices per 100 kg,02300000,1872.1000000000001
2021,Croatia,HR,orchards,Orchards/Vineyards (perennial),Strawberries under glass - prices per 100 kg,06193200,2931.3999999999996
2021,Croatia,HR,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,368.2
2021,Croatia,HR,vegetables,Vegetables (fresh market/transplant),Garlic - prices per 100 kg,04199906,3350.4
2021,Hungary,HU,arable,Arable (cereals/oilseeds),Sunflowers - prices per 100 kg,02120000,494.90000000000003
2021,Hungary,HU,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,7251.1
2021,Hungary,HU,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,527.3
2021,Hungary,HU,vegetables,Vegetables (fresh market/transplant),Green beans - prices per 100 kg,04197000,2491.9
2021,Ireland,IE,arable,Arable (cereals/oilseeds),Barley - prices per 100 kg,01300000,234.89999999999998
2021,Ireland,IE,vegetables,Vegetables (fresh market/transplant),Cultivated mushrooms: all qualities - prices per 100 kg,04199901,1750.0
2021,Italy,IT,arable,Arable (cereals/oilseeds),Durum wheat - prices per 100 kg,01120000,365.6
2021,Italy,IT,orchards,Orchards/Vineyards (perennial),Lemons: all varieties - prices per 100 kg,06230000,816.7
2021,Italy,IT,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,453.1
2021,Italy,IT,vegetables,Vegetables (fresh market/transplant),Tomatoes in the open: all qualities - prices per 100 kg,04121000,808.4000000000001
2021,Lithuania,LT,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,479.79999999999995
2021,Lithuania,LT,orchards,Orchards/Vineyards (perennial),Strawberries under glass - prices per 100 kg,06193200,4803.3
2021,Lithuania,LT,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,354.5
2021,Lithuania,LT,vegetables,Vegetables (fresh market/transplant),Spinach - prices per 100 kg,04193000,4349.8
2021,Luxembourg,LU,arable,Arable (cereals/oilseeds),Grapes for wine production - prices per 100 kg,06490000,1229.0
2021,Luxembourg,LU,orchards,Orchards/Vineyards (perennial),Strawberries: all types of production - prices per 100 kg,06193000,4750.0
2021,Luxembourg,LU,rowCrops,Row crops,Main crop potatoes - prices per 100 kg,05120000,274.9
2021,Latvia,LV,arable,Arable (cereals/oilseeds),Rape - prices per 100 kg,02110000,477.59999999999997
2021,Latvia,LV,orchards,Orchards/Vineyards (perennial),Raspberries - prices per 100 kg,06199200,2741.1000000000004
2021,Latvia,LV,rowCrops,Row crops,Early potatoes - prices per 100 kg,05110000,439.4
